"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote",
"JQC","Nuveen Credit Strategies Income Fund","7.9","$1.08B","2003","n/a","n/a","http://www.nasdaq.com/symbol/jqc",
"JDD","Nuveen Diversified Dividend and Income Fund","11.07","$220.72M","2003","n/a","n/a","http://www.nasdaq.com/symbol/jdd",
"NAD","Nuveen Dividend Advantage Municipal Fund","15.47","$607.91M","1999","n/a","n/a","http://www.nasdaq.com/symbol/nad",
"NVG","Nuveen Dividend Advantage Municipal Income Fund","15.55","$414.36M","2002","n/a","n/a","http://www.nasdaq.com/symbol/nvg",
"DIAX","Nuveen Dow 30SM Dynamic Overwrite Fund","14.17","n/a","2014","n/a","n/a","http://www.nasdaq.com/symbol/diax",
"JMF","Nuveen Energy MLP Total Return Fund","10.94","$431.54M","2011","n/a","n/a","http://www.nasdaq.com/symbol/jmf",
"NZF","Nuveen Enhanced Municipal Credit Opportunities Fun","15.36","$557.76M","2007","n/a","n/a","http://www.nasdaq.com/symbol/nzf",
"NEV","Nuveen Enhanced Municipal Value Fund","16.19","$341.51M","2009","n/a","n/a","http://www.nasdaq.com/symbol/nev",
"JPW","Nuveen Flexible Investment Income Fund","15.52","$57.51M","2013","n/a","n/a","http://www.nasdaq.com/symbol/jpw",
"JFR","Nuveen Floating Rate Income Fund","10.34","$517.91M","2004","n/a","n/a","http://www.nasdaq.com/symbol/jfr",
"JRO","Nuveen Floating Rate Income Opportuntiy Fund","10.12","$333.75M","2004","n/a","n/a","http://www.nasdaq.com/symbol/jro",
"NKG","Nuveen Georgia Dividend Advantage Municipal Fund 2","14.22","$150M","2002","n/a","n/a","http://www.nasdaq.com/symbol/nkg",
"JGV","Nuveen Global Equity Income Fund ","11.03","$210M","2006","n/a","n/a","http://www.nasdaq.com/symbol/jgv",
"JGH","Nuveen Global High Income Fund","14.33","n/a","2014","n/a","n/a","http://www.nasdaq.com/symbol/jgh",
"JHA","Nuveen High Income 2020 Target Term Fund","10.17","n/a","2015","n/a","n/a","http://www.nasdaq.com/symbol/jha",
"JHY","Nuveen High Income 2020 Target Term Fund","10.15","n/a","2015","n/a","n/a","http://www.nasdaq.com/symbol/jhy",
"NXC","Nuveen Insured California Select Tax-Free Income Portfolio","16.37","$102.79M","1992","n/a","n/a","http://www.nasdaq.com/symbol/nxc",
"NXN","Nuveen Insured New York Select Tax-Free Income Portfolio","14.59","$57.25M","1992","n/a","n/a","http://www.nasdaq.com/symbol/nxn",
"NID","Nuveen Intermediate Duration Municipal Term Fund","13.8","$647.35M","2012","n/a","n/a","http://www.nasdaq.com/symbol/nid",
"NQM","Nuveen Investment Quality Municipal Fund, Inc.","16.25","$584.61M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/nqm",
"NMY","Nuveen Maryland Premium Income Municipal Fund","13.7","$330.23M","1993","n/a","n/a","http://www.nasdaq.com/symbol/nmy",
"NMT","Nuveen Massachusetts Premium Income Municipal Fund","15.18","$141.89M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/nmt",
"NUM","Nuveen Michigan Quality Income Municipal Fund","14.68","$305.76M","1991","n/a","n/a","http://www.nasdaq.com/symbol/num",
"NMS","Nuveen Minnesota Municipal Income Fund","16.5","$68.42M","2014","n/a","n/a","http://www.nasdaq.com/symbol/nms",
"JLS","Nuveen Mortgage Opportunity Term Fund","23.02","$365.75M","2009","n/a","n/a","http://www.nasdaq.com/symbol/jls",
"JMM","Nuveen Multi-Market Income Fund","7.37","$69.75M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/jmm",
"NHA","Nuveen Municipal 2021 Target Term Fund","9.91","n/a","2016","n/a","n/a","http://www.nasdaq.com/symbol/nha",
"NMI","Nuveen Municipal Income Fund, Inc.","12.43","$102.86M","1988","n/a","n/a","http://www.nasdaq.com/symbol/nmi",
